Etablissement nom;Classification;Adresse;Code postal;Commune;Tarifs;Périodes (textuelles);Description fr
Laura Laune;Spectacle;Grand Place;7000;Mons;Adulte : de 49.00 à 69.50;Le 12/05/2021 : de 20h00 à h;«Je m’appelle Laurent, j’ai 5 ans et je vais vous faire mes imitations. » Cette phrase prononcée fièrement en 1972 par un petit garçon dans le microphone de ses parents fait écho au nouveau spectacle de LAURENT GERRA. La scène en première récréation, l’imitation en seconde nature ! Il est devenu l’humoriste applaudi par des millions de Français, la radio et la télévision l’ont accompagné dans ses plus grands moments. Ce nouveau spectacle, « SANS MODERATION » se savoure entre jubilation et émotion. Laurent Gerra rosse hommes politiques, chanteurs, acteurs, et personnalités faisant l’actualité. Il revisite quelques-uns de ses grands sketchs avec ses cibles préférées et présente aussi sa vision inédite de l’actualité, notamment politique, avec une présidentielle à rebondissements…! La tournée « Sans modération » (ça ne s’invente pas !) dès l’été 2017, investira les plus petites salles qui ont vu naître le phénomène, jusqu’aux plus grandes ayant accueilli ses triomphes, aux quatre coins de la France, Belgique et Suisse. Accompagné de 6 musiciens, l’humoriste parcourt de sa plume acérée ces 5 dernières décennies, notamment la nôtre, et nous promet, à l’occasion de ses 50 ans, une de ses plus belles cuvées
Bout à bout;Spectacle;1 Rue des Passages;7000;Mons;Adulte : de 9.00 à 15.00;"Du 16/05/2021 au 17/05/2021 : 
Lundi : de 09h30 à 10h10 et de 10h45 à 11h25
Dimanche : de 16h00 à h";"La nouvelle création du Raoul Collectif
 Voici dix ans que Romain David, Jérôme de Falloise, David Murgia, Benoît Piret et Jean-Baptiste Szézot sont frères d’armes de théâtre et de musique. Après Le Signal du promeneur et Rumeur et petits jours, c’est à Une cérémonie que nous sommes invité·e·s, avec la figure de Don Quichotte en ligne de mire. On y devine l’histoire d’un groupe en quête d’absolu trimbalant ses idéaux, ses rêves et ses instruments de musique. La quête de sens donne tout son relief à cette nouvelle production du Raoul Collectif !
  
  Raoul Collectif.
  Avec Romain David, Jérôme de Falloise, David Murgia, Benoît Piret et Jean-Baptiste Szézot.
 Autour du spectacle…
 Mer 05
  — à l’issue du spectacle : Bord de scène avec l’équipe artistique."
Un chef d'oeuvre de Bach depuis Sainte-Waudru;Spectacle;Place du Chapitre;7000;Mons;Adulte : de 9.00 à 15.00;Le 20/05/2021 : de 20h00 à h;"Hommage à Giya Kancheli
 L’oeuvre du grand compositeur géorgien Giya Kancheli, disparu fin 2019, révèle un profond mysticisme. Elle explore avec expressivité la dimension métaphysique de l’être humain, entre quête de perfection et illumination. Pour rendre hommage à ce brillant compositeur cher à Musiques Nouvelles, l’ensemble interprète Caris Mere suivi de l’un de ses opus phare Exil, sorte d’oratorio qui déroule, en pulsation calme, douce et pénétrante, des poésies de Paul Celan et de Hans Sahl.
  
  Avec Musiques Nouvelles.
 Programme :
 

 Giya Kancheli : Caris Mere et Exil."
Plaidoiries;Spectacle;Grand Place;7000;Mons;"Adulte : de 9.00 à 15.00,
Gratuité :";Le 26/05/2021 : de 20h00 à h;"Quand la petite histoire rencontre la grande
 Stand-up absurde ou quête identitaire ? Comédien de 40 ans, fils d’une mère wallonne et d’un père flamand, Cédric a mal à l’Europe. Jouisseur de libertés qui lui ont permis de vivre ce continent politique, il s’interroge sur les effets du néo-libéralisme et de ses revendications identitaires, avec leur cortège de pulsions négatives et meurtrières. Voyageant aux Pays-Bas, en Suède, en Hongrie et partout en Belgique, il nous livre en création mondiale un spectacle intime et politique, à la rencontre de figures importantes, de simples citoyen·ne·s et des membres de sa famille.
  
  De Cédric Eeckhout.
 Autour du spectacle…
 Mer 12 
  — à l’issue du spectacle : Bord de scène avec l’équipe artistique."
36ème Festival International du Film de Mons;"Cinéma,
Festival";Grand Place;7000;Mons;Adulte : de 9.00 à 15.00;Du 21/05/2021 au 28/05/2021;"Un spectacle choral grandiose
 Dans une ville sans nom, un groupe d’enfants assiste à la construction d’un mur qui divise leur monde en deux. Mais l’excitation cède la place à l’incrédulité tant ce projet semble dénué de sens logique. Mêlant choeurs d’enfants et d’adultes, ce spectacle québécois présente un drame qui touche chacun de manière spécifique, et qui affecte globalement l’ensemble de la communauté. Une proposition d’envergure, construite d’après deux textes de Suzanne Lebeau, où le théâtre convoque la musique.
  
  Le Carrousel (Quebec).
  
  Avec le Choeur d’enfants de l’Académie de Mons et un choeur d’enfants de Maubeuge (en cours)."
Jérémy Ferrari;Spectacle;Grand'Place;7000;Mons;Adulte : de 29.00 à 39.00;Le 15/06/2021 : de 20h00 à h;
CoverQueen;Spectacle;Grand Place;7000;Mons;Adulte : de 49.00 à 65.00;Le 16/06/2021 : de 20h00 à h;Michaël Gregorio débute par le théâtre à l’âge de 14 ans, passionné de musique il s’amuse ensuite à chanter à la manière de ses groupes favoris Radiohead et Nirvana. Il participe en mars 2001 à l’émission de Laurent Boyer Graines de star sur M6, qu’il remporte deux fois. En 2005, il rencontre Laurent Ruquier qui décide de le produire. Depuis, il collectionne les succès sur scène : un premier spectacle J’aurais voulu être un chanteur, la première partie de Céline Dion lors de sa tournée européenne en 2008, puis Michaël Gregorio pirate les chanteurs qui totalise plus de 250 000 spectateurs et pour lequel il reçoit un double DVD d’or… Son spectacle Michaël Gregorio en concertS fait le plein pendant 3 mois au Bataclan en 2012 puis au Trianon, dans le prestigieux théâtre du Châtelet à Paris, en tournée en France, Suisse et Belgique et dans les festivals. Les dernières dates se sont terminées par un mois d’Olympia à Paris et par 2 dates exceptionnelles debout en mars 2015. Michaël a reçu le « Globe de cristal du meilleur one man show » en 2013. Entre 2016 et 2017 !, Michaël fêtait ses 10 ans de scène avec son spectacle J’AI 10 ANS !. Après une tournée des Zéniths et 2 représentations complètes à l’AccorHotels Arena, il revient en 2020 avec un nouveau spectacle.
Pierre Perret;Spectacle;Grand Place;7000;Mons;Adulte : de 9.00 à 15.00;Le 26/09/2021;"Vie cruelle, vie éternelle
 La vie nous offre d’éprouver les pires tourments et les plus grandes joies. La musique métamorphose ces innombrables épreuves émotionnelles. Elle rend la douleur innocente, apprivoise nos peines, nous fait aussi parfois ressentir qu’une vie infinie habite la finitude de nos existences, que l’éternité est à portée de notre écoute.
  
  Kris Belligh, Baryton.
  Quatuor à cordes de Musiques Nouvelles."
Arno;Spectacle;Grand'Place;7000;Mons;Adulte : de 25.00 à 33.00;Le 09/11/2021;
Garou;Spectacle;Grand-Place;7000;Mons;Adulte : de 25.00 à 39.00;Le 19/11/2021 : de 20h00 à h;"Grâce à son humour toujours aiguisé, son autodérision il vous donne son ressenti sur la vie dans cette ""société de beaux gosses"". Après le succès ses rôles au cinéma dans ""Neuilly Sa Mère"" 1 et 2 et ""Beur Sur La Ville"" et après le carton de sa pièce de théâtre ""La Grande Évasion"", Booder revient à ses premiers amours : le one man show, pour notre plus grand plaisir… Son expérience dans le domaine artistique, ses rencontres, son fils, son pays d'origine, tout y passe."
Absurdicule;Exposition;Rue de la Clef;7000;Mons;Gratuité :;"Du 16/01/2021 au 14/02/2021 : 
Mardi : de 12h00 à 18h00
Mercredi : de 12h00 à 18h00
Jeudi : de 12h00 à 18h00
Vendredi : de 12h00 à 18h00
Samedi : de 12h00 à 18h00
Dimanche : de 12h00 à 18h00";"Photographies de Vanessa Vanderkelen.
  
 « Depuis que mes enfants sont en âge de parler, je traque le petit mot qui me fera sourire, la petite erreur qui rend la vie plus poétique, plus drôle, plus belle.
 Je ne les ai jamais repris. Je leur ai laissé le soin de s’inventer un vocabulaire, des mots à eux pour mon plus grand plaisir… »
 « J’aime ça que tous ces mots n’appartiennent qu’à nous, notre famille. Et souvent ils font écho de ce que nous sommes… »"
SURPRISE ! …ou le premier jour du reste de ma vie;Exposition;17 Rue de la Trouille;7000;Mons;Adulte : 3.00;"Du 05/12/2020 au 14/02/2021 : 
Mardi : de 12h00 à 18h00
Mercredi : de 12h00 à 18h00
Jeudi : de 12h00 à 18h00
Vendredi : de 12h00 à 18h00
Samedi : de 12h00 à 18h00
Dimanche : de 12h00 à 18h00";"Suite à la réouverture des musées ce 5 décembre 2020, les visites aux anciens Abattoirs sont limitées à 25 personnes/h avec un temps de visite de 1 heure.
 

 Une EXPO x2 : JFO©/ Jean-François Octave + Atelier IDM©/ Images Dans le Milieu de l’École Supérieure des Arts à Mons ARTS²
 Une EXPO x3 LIEUX où IDM© réunit pour la première fois 3 endroits emblématiques du Hainaut :
 ➡︎ le BAM (aux Abattoirs 17/10/20 au 31/01/21)
 ➡︎ le BPS22 à Charleroi (21/11/20 au 04/01/21)
 ➡︎ le MAC’s Musée des Arts Contemporains au Grand-Hornu (avec La Cambre #Sculpture 30/01/21 au 28/02/21).
 Une EXPO-LABO où l’accrochage change et évolue pendant 3 mois.
 Une EXPO-RENCONTRE où vous pouvez voir les étudiants au travail et discuter avec avec eux (les mardis et jeudis sauf congés scolaires)
 Une EXPO-FUN à voir dans la suite de Lichtenstein ou “Qu’est-ce que c’est être POP en 2020 ?”
 Une EXPO-ÉVÉNEMENTS avec une dynamique inter-domaines lancée par des étudiants d’ARTS2 au Frigo*
 Une EXPO-LIVRE et le magnifique catalogue de 333 pages (+3) publié à La Lettre Volée pour les 33ans de JFO© & IDM©…"
La Belgique de Papa;Exposition;76 Rue de Nimy;7000;Mons;"Adulte : 10.00,
Enfant : 2.00,
Sénior : 6.00";"Du 20/01/2021 au 18/04/2021 : 
Mercredi : de 13h00 à 17h00
Jeudi : de 13h00 à 17h00
Vendredi : de 13h00 à 17h00
Samedi : de 11h00 à 18h00
Dimanche : de 11h00 à 18h00";"Vers un design phyto-centré
 

 Une exposition sur le potentiel caché des plantes.
 

 Pendant des siècles, notre profond détachement de la nature nous a empêchés de ' voir ' les plantes et de les considérer comme plus que de simples ressources ou objets de décoration.
 

 Pourtant, des découvertes scientifiques et réflexions philosophiques récentes suggèrent qu’il est urgent de repenser notre rapport au monde végétal et de questionner le dualisme humain / nature si profondément enraciné dans la pensée occidentale. Faisant écho aux mots de l’écologiste américain Ian Baldwin, qui suggère qu’il serait bon d’essayer "" de penser comme les plantes "", nombreux sont les designers, scientifiques et ingénieurs qui commencent à considérer les plantes comme de potentielles alliées pouvant nous aider à faire face aux problèmes environnementaux et sociaux actuels et à venir.
 

 Plant Fever envisage le futur du design non plus d’un point de vue humano-centré mais phyto-centré. Du design de produits à la mode en passant par des dispositifs open source et des objets mêlant botanique et nouvelles technologies, une sélection d'env. 50 projets permettra d’explorer des notions tels que la plant blindness, le biomimétisme et le recyclage valorisant, l'éco-féminisme, mais aussi le post-colonialisme.
 

 Pensée comme une exposition militante, Plant Fever ne craindra pas de prendre position, de poser des questions et d’engager le public dans une conversation positive et constructive. 
 

 Parallèlement à l'espace d’exposition, le propos sera relayé sur une plateforme web, et accompagné d'un programme de conférences et de workshops."
Dernière récolte;Spectacle;8 Rue des Arbalestriers;7000;Mons;Adulte : 5.00;"Du 09/02/2021 au 12/02/2021 : 
Mardi : de 19h00 à h
Mercredi : de 20h00 à h
Jeudi : de 10h00 à h et de 20h00 à h
Vendredi : de 20h00 à h";"En lien avec l'exposition ""No Room for Regrets"", amuse-toi à réinterpréter et enchanter les objets de ton quotidien grâce à l'art de la lumière. En compagnie de l'artiste Diego D'Onofrio, exploite la force de la lumière pour suggérer des formes et troubler ta perception de la sculpture. Pour les enfants de 8 à 12 ans. 
 Prix : 5€ Réservation obligatoire : reservations@grand-hornu.be/ +32(0)65 613 902"
Fabrice Luchini - 20 février;Spectacle;Grand Place;7000;Mons;Adulte : de 9.00 à 15.00;Le 20/02/2021;"Un western social entre culture flamande et wallonne
 Une ferme du Hainaut, où un père malade s’accroche à la vie. La ferme survit grâce à la seule force de Pierre, le fils qui n’est jamais parti. L’autre fils, Yann, revient après plusieurs années d’absence. Que faire quand la vie nous ramène là où on ne voulait plus être ? Qu’a-t-on le droit de dire quand on est celui qui a fui ? Quels mots mettre sur la disparition des paysages ? Dernière récolte questionne ce lien entre père et fils sur fond de blues made in Belgium.
  
 De Axel Cornil.
 

  
 Dans le cadre du Focus Aller / Retour programmé du 9 au 12 février sur Mars."
14e édition de la triennale de l'affiche politique;Exposition;Boulevard Dolez;7000;Mons;Gratuité :;"Du 06/02/2021 au 19/12/2021 : 
Mardi : de 10h00 à 18h00
Mercredi : de 10h00 à 18h00
Jeudi : de 10h00 à 18h00
Vendredi : de 10h00 à 18h00
Samedi : de 10h00 à 18h00
Dimanche : de 10h00 à 18h00";"À l’issue d’un an d’apprentissage du mouvement scénique à ARTS², certain·e·s élèves ont voulu se confronter au regard du public. Trouver dans l’instant la justesse d’un geste, d’un son, d’une phrase dansée ou verbale, à l’unisson du langage musical d’un invité. Ils·elles nous invitent à écrire ensemble la partition de ce moment partagé.
  
  Un projet d’Alexandre Tissot, professeur de mouvement scénique.
 Vivement Lundi !
 Le rendez-vous intime et inédit entre le public et les artistes !
  Banc d’essai, moment lecture, projet en chantier, conférence, réflexion sur un sujet donné, rêve caché au fond d’un tiroir, plongée dans un univers artistique particulier… Vivement lundi ! se veut un moment de liberté sur Mars.
  Un espace-temps de plaisir dédié à la rencontre entre un artiste et le public.
  
  Découvrez le programme des “Vivement lundi !” de la saison…"
Donovan;Spectacle;Grand-Place;7000;Mons;Adulte : de 9.00 à 15.00;Le 07/03/2021 : de 20h00 à h;"Mélopées immémoriales
 Venez vous plonger dans l’intimité de ces artistes et découvrir leur univers singulier lors d’une pause en dehors du temps.
  
  La voix humaine a cappella est mystérieuse et captivante. Par un voyage au cœur des mélodies éternelles, Elise Gäbele nous invite à une balade méditative, du chant grégorien à Giacinto Scelsi, en passant par le chant monodique du Moyen Âge."
Platon Vs. Platoche;Spectacle;1 Rue des Passages;7000;Mons;Adulte : de 9.00 à 15.00;Le 10/03/2021 : de 20h00 à 21h20;"Entre enfer et paradis
 Relecture contemporaine du drame lyrique ancestral Ordo Virtutum de Hildegard Von Bingen, ce nouveau projet initiatique sur le bien et le mal associe deux pointures belges de la création musicale, le compositeur et violoncelliste Jean-Paul Dessy et le baryton Romain Dayez. Ils nous emmènent dans les hautes sphères spirituelles de l’âme humaine. La partition écrite au Moyen Âge pour voix de femmes, inspire aujourd’hui librement cette création unissant la voix de l’homme à celle du violoncelle.
  
  Romain Dayez, baryton.
  Jean-Paul Dessy, violoncelle.
 

 Dans le cadre de La Semaine de la voix, programmée du 1er au 6 mars."
Young Belgian Strings;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : 5.00;Le 11/03/2021 : de 20h00 à 21h00;"En lien avec l'exposition ""No Room for Regrets"", viens t'essayer à l'art de l'assemblage. En compagnie de l'artiste Diego D'Onofrio, détourne les objets de ton quotidien et transforme-les en sculptures miniatures que tu animeras à l'aide de petits mécanismes. Pour les enfants de 8 à 12 ans Prix : 5 € Réservation obligatoire : reservations@grand-hornu.be / +32 (0)65 613 902"
Vivement lundi - Lundi en coulisses;Spectacle;1 Rue des Passages;7000;Mons;Gratuité :;Le 15/03/2021 : de 19h00 à 20h00;"À l'occasion de son exposition rétrospective ""No Room for Regrets"" au MACS, l'artiste Johan Muyle vous guide au travers de son œuvre. !!! Cet événement est susceptible d'être annulé ou reporté en fonction des mesures sanitaires en vigueur !!! Gratuit Réservation obligatoire : reservations@grand-hornu.be / +32 (0)65 613 902"
Francis Cabrel;Spectacle;Grand-Place;7000;Mons;Adulte : de 3.00 à 10.00;Le 24/03/2021;"Partagez le plaisir de la musique avec vos tout·es-petit·e·s
 Dans un cocon de matières picturales projetées par la vidéo se déploient battements du coeur, bercements et chants. Little Drops nous emmène dans un voyage entre musique du monde, musique contemporaine et classique inspirée de Bach. Violoncelle, voix, «loopstation», entrelacs de sons et de rythmes, projections de couleurs et de lumières : voici tout un parcours sonore et visuel, pour le plaisir des tout jeunes enfants et des parents !
  
  Compagnie Murmures et chocolats – Claire Goldfarb.
 

  Du 11 au 19 mars, les soirs de concerts, exposition du peintre Moyo. L’artiste installera son atelier sur la scène d’Arsonic à l’occasion du concert du 19 mars : Enfantaisie."
Peter Pan;Spectacle;Grand Place;7000;Mons;Adulte : de 9.00 à 15.00;"Du 17/04/2021 au 18/04/2021 : 
Samedi : de 20h00 à h
Dimanche : de 16h00 à h";"Interroger la démocratie en petit groupe
 Premier volet du triptyque, AVEUGLES s’inspire autant de l’exposé de Yona Friedman (Comment vivre avec les autres sans être chef et sans être esclave ?) que de la pièce de Maurice Maeterlinck. Dans cette fable écrite au plateau, les acteurs et actrices affrontent leurs doutes pour tenter d’organiser une démocratie embryonnaire. Prenant sa source dans des expériences vécues, ils offrent une fiction où l’on tente de trouver « comment faire pour faire ensemble ».
  
  De Vincent Collet.
 Autour du spectacle…
 18h → 19h30 — Gratuit : Apéro philo « Comment faire pour faire ensemble ? »
  Tentez l’aventure de la pensée avec les ateliers de Picardie laïque Gratuit sur réservation à public@surmars.be.
 Le joli collectif
 Depuis 2018, l’équipe du projet Pouvoir / Ou pas réunie autour de Vincent Collet travaille sur un triptyque interrogeant les dimensions du ou des pouvoir(s) individuel(s) et collectif(s).
  
  Découvrez la sortie de résidence du prochain épisode, Justice.s, le lundi 29 mars à l’occasion de l’éco-festival Demain."
L’Hirondelle et la Mésange;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : de 39.00 à 69.00;Le 22/04/2021 : de 20h00 à 21h00;
Forces;Spectacle;1 Rue des Passages;7000;Mons;Adulte : de 9.00 à 15.00;Le 29/04/2021 : de 20h00 à 20h55;"Une pépite de la Cinémathèque mise en musique
 Deux péniches, L’Hirondelle et La Mésange, voguent d’Anvers vers la France. À leur bord, Pieter, sa femme, Griet et sa bellesoeur, Marthe, vivent paisiblement. L’arrivée d’un nouveau pilote, Michel, fait virer l’atmosphère au drame. Réalisée en 1920 par André Antoine cette oeuvre renaît en 1982 grâce au travail de reconstitution du réalisateur, monteur et musicologue Henri Colpi. Stéphane Orlando et Musiques Nouvelles créent à leur tour la version en ciné-concert.
  
 Stéphane Orlando, composition.
 Musiques Nouvelles – Jean-Paul Dessy, direction.
 En prélude au concert : Prestation par des jeunes talents de l’Académie de Musique de Mons."
Blackmaninov / Ronnie Lynn Patterson;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : de 25.80 à 29.80;Le 04/05/2021 : de 20h00 à h;
Block party d'ouverture;Spectacle;8 Rue des Arbalestriers;7000;Mons;Adulte : de 39.00 à 69.00;Le 08/05/2021 : de 16h00 à h;"Yannick Noah signe son retour musical avec son nouvel album « Bonheur Indigo ». 
  
  C’est le 11ème album du chanteur et tennisman français, qui a écoulé plusieurs millions de disques au cours de sa carrière et joué dans les plus grandes salles de France. 
  
  Au fil de sa musique, Yannick Noah rappelle que le bonheur n’est pas un vilain mot et chante une bouffée de liberté qui fait du bien. 
  
  Il propose un album qui lui ressemble : un véritable hymne à la bienveillance. 
  
  Optimiste engagé, il chante le nuancier du bonheur en nous tendant la main. 
  
  Message reçu, on danse avec lui !"
Concours chorégraphique;Spectacle;1 Rue des Passages;7000;Mons;Adulte : de 9.00 à 15.00;Le 09/05/2021;"Une expérience sensorielle totale !
 Rituel immersif, le dernier spectacle de Leslie Mannès nous emmène dans un tourbillon de forces telluriques et technologiques. Telles des chamanes, trois figures féminines puisent dans l’invisible pour faire de leur corps le vecteur d’une métamorphose libératrice. Interrogeant la relation triangulaire entre le corps, le son et la lumière, Leslie Mannès, Thomas Turine et Vincent Lemaître offrent ici une chorégraphie totalement hypnotique, à ne manquer sous aucun prétexte.
  
 Leslie Mannès, Thomas Turine et Vincent Lemaître.
 

 Dans le cadre du Focus Guerrières programmé du mardi 27 au jeudi 29 avril sur Mars."
The quest;Spectacle;1 Rue des Passages;7000;Mons;Adulte : 15.00;"Du 13/05/2021 au 14/05/2021 : 
Jeudi : de 20h00 à h";"A la rencontre du pianiste de jazz afro-américain Ronnie Lynn Patterson 
  
  Oiseau rare, autodidacte et polyglotte, parlant couramment le français, le basque, l'espagnol, le chinois ou encore l'hébreu, le pianiste afro-américain Ronnie Lynn Patterson fait figure à part dans le milieu de la musique classique. 
  Foudroyé par la découverte de Rachmaninov il y a 25 ans, il a développé une approche originale, héritée du jazz, alliée à la discpline et à la rigueur redoutable d'une partition classique hautement virtuose et technique. Abordant d'une manière inédite un répertoire qui lui est aussi proche qu'inconnu, Blackmaninov est, davantage qu'un concert, un véritable récit inspiré par sa vie. 
  
  A découvrir à Arsonic"
Frontière Nord;Spectacle;1 Rue des Passages;7000;Mons;Adulte : de 9.00 à 15.00;Le 15/05/2021 : de 20h00 à 21h00;"Un périple initiatique haut en couleurs
 Zazie a 12 ans, elle va passer le week-end chez son oncle à Paris et n’a qu’une idée en tête : prendre le métro ! Mais c’est la grève… Voici le chef d’oeuvre de Raymond Queneau revisité, entre rêve et réalité, plongeant le spectateur·rice dans la capitale française et le monde fascinant des adultes. À travers le regard malicieux et curieux de Zazie, le fondateur de l’Oulipo inverse les genres et joue la carte du travestissement, nous confrontant à l’ambiguïté des apparences.
  
  Raymond Queneau. Shérine Seyad.
  Compagnie Debout sur la Chaise.
 Autour du spectacle…
 — 16h30 → 17h30 : Atelier philo « Chacun·e est-il·elle libre de s’inventer ? »
  Tentez l’aventure de la pensée avec les ateliers de Picardie laïque.
  
  — À l’issue du spectacle : Bord de scène en présence des artistes, animé par Nicolas Vico, en collaboration avec Picardie Laïque."
« Le jardin des oiseaux » par la Cie Les chanteurs d’oiseaux;Spectacle;;7000;Mons;Adulte : de 10.00 à 30.00;Le 16/05/2021 : de 11h00 à h;"Révélation des Victoires de la musique 2020. 
  
  Claire Pommet (aka Pomme), autrice compositrice interprète de 23 ans, habite entre Paris et Montréal. Son premier album, « À peu près » (2017), a reçu un très bon accueil critique et public. Grâce à une tournée-fleuve de plus de 300 concerts, le succès est allé grandissant – en atteste un Trianon (Paris) plus que complet en 2019. Son nouvel album, « Les failles », a été consacré « révélation » lors des 35e Victoires de la musique, début 2020."
Michael Gregorio;Spectacle;Grand Place;7000;Mons;Adulte : de 39.00 à 65.00;Le 25/05/2021 : de 20h00 à h;"Laura Laune ose tout ! Dans un humour noir décapant et incisif, la folie angélique de Laura Laune et ses personnages emplis de paradoxes vous donnent des frissons : est-elle innocente ou méchante ? Consciente de ses propos où simplement folle à lier ? D’une comptine pour enfants qui part en vrille, à des personnages d’une folie d’apparence imperceptible, le spectacle vous réserve bien des surprises. 
  
  A découvrir au Théâtre Royal de Mons"
Laure Stehlin;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : 15.00;Le 04/06/2021 : de 20h00 à 21h00;"Du théâtre d’objets plein de lumière et de poésie
 Un petit bout de corde s’extirpe d’un tas entremêlé, commence à prendre vie et part à la rencontre d’autres fragments. À travers leurs jeux et leurs disputes se dessinent sous nos yeux des images du quotidien, de vacances et de rêves. Surgissent des personnages qui prennent vie avant de se métamorphoser à nouveau, évoquant les relations humaines dans des tableaux épurés, faits de lignes dessinées par les cordages.
  
 De la Compagnie Le Clan des Songes.
 

 Activité autour du spectacle…
 Dim 16 – 14h30 : Conversa’Sign
 Initiation à la langue des signes par l’asbl Passe-Muraille."
Lumière vive;Spectacle;138 Rue de Nimy;7000;Mons;Adulte : de 9.00 à 15.00;Le 08/06/2021 : de 20h00 à 21h00;"Une soirée inoubliable d’écoute et d’introspection
 Reconnu dans le monde entier, le Quatuor Bozzini est voué à porter la musique contemporaine vers de nouveaux auditoires, avec des approches innovantes de commande, de création et d’interprétation. Il offre cette fois comme pièce de résistance le Quatuor N°2 de György Ligeti. À cette oeuvre-phare du 20e siècle se greffent celles des Canadiens Linda Catlin Smith et Michael Oesterle – des paysages sonores lumineux et atmosphériques.
  
 Clemens Merkel, violon, Alissa Cheung, violon, Stéphanie Bozzini, alto, et Isabelle Bozzini, violoncelle."
Maxime Le Forestier;Spectacle;Grand Place;7000;Mons;Adulte : de 18.00 à 25.00;Le 11/06/2021 : de 20h00 à h;"Revivez une tradition médiévale
 Après un concert de Noël en l’église Saint-Nicolas, c’est à la collégiale Sainte-Waudru que l’ORCW interprète une autre grande oeuvre de musique sacrée : La Passion selon Saint-Jean de Bach, qui constitue l’apogée d’une très ancienne tradition remontant au Moyen Âge et consistant à chanter la Passion du Christ pendant la semaine Sainte. Une pièce spirituelle grandiose, composée à l’âge de 24 ans et remise en avant grâce à Félix Mendelssohn !
  
  Vahan Mardirossian, direction. ORCW.
  Bernard Carlier, organiste.
  Choeur et solistes N.N.
 Programme :
  Jean-Sébastien Bach : La Passion selon Saint-Jean"
Artus dans Duels à Davidéjonatown;Spectacle;Grand Place;7000;Mons;Adulte : de 39.00 à 59.00;Le 17/06/2021 : de 20h00 à h;Un an après avoir rempli Forest National avec son premier spectacle « Entre nous », Pablo Andres revient sur scène avec un tout nouveau spectacle… »Démasqué ». L'agent Verhaegen, le rappeur MC Furieux et l'insupportable Jerem Floquet, Ramon Culo…pour ne citer qu'eux, ont ainsi pour point commun d'être nés anti-héros loufoques dans le cerveau visiblement fort fréquenté d'un Pablo Andres plus fédérateur que jamais. Mais qui est réellement Pablo Andres ? Il y a bien longtemps que la Belgique n'avait plus connu pareil phénomène. En radio, en télé, à travers les réseaux sociaux et sur scène, l'humoriste a littéralement conquis le plat pays avec une horde de personnages aussi absurdes qu'attachants.
Patrick Fiori;Spectacle;Grand-Place;7000;Mons;Adulte : de 49.00 à 65.00;Le 31/10/2021 : de 20h00 à h;La pièce de théâtre Compromis avec Pierre Arditi et Michel Leeb sera présentée sur la scène du Théâtre Royal de Mons le 22 avril 2020. Deux amis de trente ans dans un appartement vide. L’un, (Pierre Arditi) est un comédien médiocre, l’autre (Michel Leeb) un dramaturge raté. Le premier vend son appartement et a demandé au second d’être présent lors de la signature du compromis, pour rassurer l’acheteur. Car s’il écrit de très mauvaises pièces, il a tout de même un visage rassurant. C’est sa grande qualité. On attend l’acheteur. D’ailleurs, acheteur ou pigeon ? En l’attendant on parle. On se flatte. On se caresse. On se moque. On se taquine. Cela glisse peu à peu. On se blesse en se lançant à la face ce que l’on retient depuis longtemps. Et l’acheteur finit par arriver, qui va assister à un règlement de comptes, farcesque mais sans concession, entre les deux amis. Va-t-il en demeurer le spectateur, en devenir l’arbitre ou en être au final la seule victime?
Chimène Badi;Spectacle;Grand-Place;7000;Mons;Adulte : de 35.00 à 49.00;Le 27/11/2021 : de 20h00 à h;
D'Jal;Spectacle;Grand Place;7000;Mons;;Le 17/12/2021 : de 20h00 à h;
Daniel Guichard;Spectacle;Grand Place;7000;Mons;Adulte : de 29 à 45;Le 28/01/2022 : de 20h00 à h;"Un chef d’œuvre de la littérature française porté seule en scène par Clémentine Célarié. 
  
  «Une vie, voyez-vous, ça n’est jamais si bon ni si mauvais qu’on croit.» 
  C’est sur cette phrase que Maupassant achève son premier roman. Il nous raconte l’histoire de Jeanne. Une vie parmi d’autres. Avec toutes les découvertes, les grandes joies, les plaisirs, les désillusions, les souffrances que cela comporte. Une vie parmi tant d’autres, et toutes les vies en une. 
  Jeanne est à elle seule toutes les femmes. Les saisons de l’existence se suivent, l’amour et la mort se succèdent, et l’éternel recommencement est là, tout près. Les vagues de l’océan viennent laver l’existence de leur ressac purificateur. 
  
  D’après le roman de Guy de MAUPASSANT 
  
  Avec Clémentine Célarié 
  Mise en scène de Arnaud Denis"
